"","Player","Nation","Pos","Squad","Age","League","Year","DefPred"
"1112","S. Namugere","Nganion","DF","Horrible Grizzlies",30,"A","2021",8.2313
"1701","Y. Smit","Sobianitedrucy","DFMF","Fighting Wave",26,"D","2021",8.2362
"689","C. Mirkovi?","People's Land of Maneau","DF","Remarkable Flames",29,"D","2020",8.2495
"1993","N. Andama","Nganion","DF","Plane Janes",34,"E","2021",8.2516
"696","T. Neves","Sobianitedrucy","DFFW","Remarkable Flames",28,"D","2020",8.25236666666667
"1793","F. Okon","Imaar Vircoand","DF","Remarkable Flames",33,"D","2021",8.2538
"849","V. Andersson","Dosqaly","DF","Mad Kingsmen",26,"E","2020",8.26476666666667
"1423","B. Kayondo","Lefghau","DF","Weak Blimps",24,"B","2021",8.2741
"1064","L. Rezaei","People's Land of Maneau","DF","Fanatical Outlaws",30,"A","2021",8.27633333333333
"828","D. Hara","Nganion","DF","Horrible Bison",25,"E","2020",8.28983333333334
"1997","A. Muller","Nganion","DFMF","Plane Janes",32,"E","2021",8.29116666666666
"51","V. bin Ali","Sobianitedrucy","DF","Horrible Grizzlies",24,"A","2020",8.29713333333333
"611","A. Cheang","Manlisgamncent","DF","Marvelous Heels",19,"D","2020",8.2996
"577","H. Kabugho","Sobianitedrucy","DF","Fighting Wave",25,"D","2020",8.30126666666667
"1713","M. Wu","Ngoque Blicri","DF","Flying Bombadiers",18,"D","2021",8.30456666666666
"1110","Y. Eyotaru","Mico","DF","Horrible Grizzlies",24,"A","2021",8.31533333333333
"1742","J. Atala","Moaithe","DF","Marvelous Heels",27,"D","2021",8.33383333333333
"1699","S. Nayiga","Sobianitedrucy","DF","Fighting Wave",27,"D","2021",8.34373333333333
"1767","O. Nanyanzi","Lefghau","DF","Mean Wolves",25,"D","2021",8.3644
"726","W. Aciro","Dosqaly","DF","Spicy Pointers",27,"D","2020",8.36636666666667
"1303","Y. Koay","Reugha","DF","Overconfident Kangaroos",28,"B","2021",8.37036666666667
"411","Y. Takeuchi","Giumle Lizeibon","DF","Horrible Flames",28,"C","2020",8.37563333333333
"1778","B. Van der Meer","Esia","DF","Red Rangers",25,"D","2021",8.3771
"511","D. Mirembe","Nganion","DFMF","Ultimate Dolphins",30,"C","2020",8.37846666666666
"1722","A. Marchenko","Ingre","DF","Hideous Spartans",26,"D","2021",8.39073333333333
"521","D. Amongi","Lylimi","DFMF","Ultimate Longhorns",35,"C","2020",8.3949
"1914","Z. Acidri","Nganion","DF","Festive Governors",23,"E","2021",8.40373333333333
"1685","Z. Chavula","Greri Landmoslands","DF","Fighting Clippers",29,"D","2021",8.41939999999999
"1485","C. Rodríguez","Esia","DF","Horrible Flames",31,"C","2021",8.43203333333333
"1597","Z. Nassolo","Rarita","DF","Ultimate Dolphins",31,"C","2021",8.43643333333333
"1358","S. Lamptey","Manlisgamncent","DF","Somber Stallions",20,"B","2021",8.43696666666666
"1029","H. Sinaga","Bernepamar","DF","Marvelous Coyotes",22,"RFL","2020",8.4383
"1999","V. Salim","Janmico","DF","Polar Kangaroos",25,"E","2021",8.44
"1697","O. Gamal","Sobianitedrucy","DF","Fighting Wave",21,"D","2021",8.44716666666666
"1097","Z. Okon","Byasier Pujan","DF","Green Fleet",22,"A","2021",8.44993333333334
"1684","X. Boyko","Coastpa Barleslands","DF","Fighting Clippers",29,"D","2021",8.4527
"1915","U. Roussel","Slandsganiamayotteque","DF","Festive Governors",19,"E","2021",8.46533333333334
"1949","P. Halvorsen","Nganion","DF","Horrible Bison",19,"E","2021",8.4669
"747","L. Karungi","Sobianitedrucy","DF","Strange Pioneers",20,"D","2020",8.46803333333333
"586","W. Namukose","Coastpa Barleslands","DF","Flying Bombadiers",24,"D","2020",8.47543333333333
"1119","A. Tay","Frenchdo Stanser","DF","Horrible Storm",32,"A","2021",8.48226666666667
"63","S. Kaggwa","Lefghau","DF","Mighty Jays",32,"A","2020",8.48313333333333
"185","O. Kuloba","Central Namemo Laand","DF","Glistening Paladins",24,"B","2020",8.49286666666667
"1390","H. Nyombi","Southern Ristan","DF","Unaccountable Foxes",25,"B","2021",8.4959
"1630","W. Aubert","Dosqaly","DF","White Firebirds",21,"C","2021",8.502
"540","H. Yong","New Uwi","DF","White Firebirds",26,"C","2020",8.50693333333334
"180","J. Kondowe","Southern Ristan","DF","Flawless Cows",27,"B","2020",8.51566666666667
"1860","J. Mubangizi","Central Diasongo","DF","Wet Flames",19,"D","2021",8.5359
"1420","Q. bin Abd Rahman","Dosqaly","DF","Weak Blimps",20,"B","2021",8.54993333333333
"1207","D. Shahar","Nkasland Cronestan","DF","Swift Musketeers",24,"A","2021",8.56353333333334
"1546","X. Pavlovi?","Nganion","DF","Serious Cyclones",20,"C","2021",8.5654
"280","M. Tseu","Manlisgamncent","DF","Solemn Leopards",22,"B","2020",8.5786
"433","Z. bin Zakaria","Esia","DF","Marvelous Anchors",28,"C","2020",8.5882
"954","T. Neves","Sobianitedrucy","DF","Swift Bison",28,"E","2020",8.591
"1674","I. Janssens","Sobianitedrucy","DF","Coy Sunbirds",33,"D","2021",8.59113333333333
"1218","E. Nakayiza","Mico","DF","Weak Tornadoes",24,"A","2021",8.59193333333333
"1100","C. Muyama","People's Land of Maneau","DF","Green Fleet",25,"A","2021",8.5922
"534","A. Chelimo","Dosqaly","DF","White Firebirds",20,"C","2020",8.59323333333334
"1785","M. Rashid","Sobianitedrucy","DF","Red Rangers",22,"D","2021",8.6016
"40","Q. Sarfo","Xikong","DF","Green Fleet",25,"A","2020",8.60223333333333
"618","A. Acheng","Southern Ristan","DF","Marvelous Heels",23,"D","2020",8.6028
"2144","Y. Meyer","Nkasland Cronestan","DF","Serious Buffaloes",32,"RFL","2021",8.6033
"1682","S. Barry","Zamlie Niabangthe","DF","Coy Sunbirds",26,"D","2021",8.60486666666666
"1506","J. Nakyanzi","Esia","DF","Marvelous Anchors",26,"C","2021",8.63053333333333
"1033","S. Rostami","Lefghau","DF","Marvelous Coyotes",34,"RFL","2020",8.63253333333333
"1709","W. Aciro","Dosqaly","DF","Flying Bombadiers",28,"D","2021",8.63716666666667
"947","N. Kasangaki","Imaar Vircoand","DF","Swift Bison",32,"E","2020",8.6389
"1840","Y. Rodriguez","Janmico","DF","Strange Pioneers",33,"D","2021",8.63926666666666
"1727","E. Németh","Sobianitedrucy","DF","Hideous Spartans",34,"D","2021",8.6447
"1478","F. Apili","Nancipenuaroe","DFFW","Fiery Governors",21,"C","2021",8.64613333333334
"1549","J. Kondowe","Southern Ristan","DF","Serious Cyclones",28,"C","2021",8.6507
"1723","A. Radu","Janmico","DF","Hideous Spartans",34,"D","2021",8.65276666666666
"1154","S. Debnath","People's Land of Maneau","DF","Punctual Rustlers",27,"A","2021",8.65986666666666
"1869","X. Nakong","Sobianitedrucy","DF","Wet Flames",28,"D","2021",8.67706666666667
"491","I. Nakato","Coastpa Barleslands","DF","Supreme Jaguars",28,"C","2020",8.6845
"1239","O. Naderi","Badad","DF","Glistening Paladins",27,"B","2021",8.6892
"1421","Z. Akoth","Dosqaly","DF","Weak Blimps",21,"B","2021",8.69493333333334
"1602","O. Kyomukama","Dosqaly","DF","Ultimate Longhorns",20,"C","2021",8.69936666666667
"1241","B. Ban","Dosqaly","DF","Glistening Paladins",20,"B","2021",8.71126666666667
"2159","H. Azizi","Rarita","DF","Strong Oaks",22,"RFL","2021",8.7125
"498","I. Öztürk","Rosvi","DF","Supreme Jaguars",26,"C","2020",8.72073333333334
"1743","C. Kirungi","Sobianitedrucy","DF","Marvelous Heels",18,"D","2021",8.72329999999999
"2160","L. binti Hassan","Rarita","DF","Strong Oaks",23,"RFL","2021",8.7398
"2157","E. Ow","Rarita","DF","Strong Oaks",26,"RFL","2021",8.74673333333334
"2042","Q. Pellegrino","Nganion","DF","Running Bigfoots",30,"E","2021",8.74736666666666
"1455","Q. Ogwang","Redohrainbri","DF","Blue Jaguars",30,"C","2021",8.74916666666666
"1387","E. Nakayiza","Mico","DF","Unaccountable Foxes",24,"B","2021",8.75956666666667
"33","C. Muyama","People's Land of Maneau","DF","Green Fleet",24,"A","2020",8.7598
"1769","I. Mutabazi","Sobianitedrucy","DF","Mean Wolves",24,"D","2021",8.77116666666667
"883","L. Tino","Nganion","DF","Plane Janes",22,"E","2020",8.77746666666667
"92","Z. Rojas","People's Land of Maneau","DF","Old Mustangs",20,"A","2020",8.77826666666667
"1311","E. Fernando","Dosqaly","DF","Serious Thunderbirds",28,"B","2021",8.79353333333333
"649","J. Neo","Sobianitedrucy","DF","Mighty Monkeys",24,"D","2020",8.8084
"409","K. Nyakudya","Esia","DF","Horrible Flames",23,"C","2020",8.82403333333333
"1815","C. Alanazi","Sobianitedrucy","DF","Serious Ranchers",32,"D","2021",8.826
"2164","R. Mensah","Rarita","DF","Strong Oaks",22,"RFL","2021",8.83363333333333
"282","P. Chi","Rarita","DF","Solemn Leopards",29,"B","2020",8.84133333333334
"1761","C. Moser","Byasier Pujan","DF","Mean Wolves",30,"D","2021",8.84223333333333
"1144","T. Chebet","People's Land of Maneau","DF","Old Mustangs",23,"A","2021",8.85786666666667
"1541","I. Nakityo","Dosqaly","DF","Serious Cyclones",21,"C","2021",8.86166666666666
"1171","A. Nakiranda","Dosqaly","DF","Solemn Cougars",19,"A","2021",8.86336666666666
"487","E. Byekwaso","Nganion","DF","Spicy Gophers",22,"C","2020",8.87463333333333
"956","O. Alon","Dosqaly","DF","Swift Marauders",28,"E","2020",8.90813333333333
"1355","W. Aciro","Dosqaly","DF","Somber Stallions",28,"B","2021",8.9128
"1115","V. Thompson","People's Land of Maneau","DF","Horrible Grizzlies",20,"A","2021",8.91716666666667
"325","Q. Vuji?","Reugha","DF","Unaccountable Foxes",24,"B","2020",8.93953333333333
"1965","M. Kayesu","Lefghau","DF","Mad Kingsmen",32,"E","2021",8.9426
"1499","C. Msukwa","Pierrema","DF","Little Lollipops",25,"C","2021",8.94716666666666
"118","F. Omara","People's Land of Maneau","DF","Solemn Cougars",18,"A","2020",8.955
"1209","J. Ssempijja","People's Land of Maneau","DF","Swift Musketeers",26,"A","2021",8.95996666666667
"1228","A. Andama","Byasier Pujan","DF","Flawless Cows",20,"B","2021",8.96173333333333
"1178","A. Acheng","Southern Ristan","DF","Solemn Cougars",24,"A","2021",8.9644
"1496","C. Denis","Esia","DF","Little Lollipops",30,"C","2021",8.9656
"1031","X. Haji","Greri Landmoslands","DF","Marvelous Coyotes",25,"RFL","2020",8.9753
"1105","Z. Agyei","People's Land of Maneau","DF","Green Fleet",19,"A","2021",8.98753333333334
"1354","M. Chavula","Dosqaly","DF","Somber Stallions",31,"B","2021",9.00743333333333
"200","B. Lai","Rarita","DF","Golden Rustlers",30,"B","2020",9.00830000000001
"1309","A. Nakiranda","Dosqaly","DF","Serious Thunderbirds",19,"B","2021",9.0133
"1450","S. Magezi","Esia","DF","Blue Jaguars",28,"C","2021",9.0219
"88","Q. Achom","Manlisgamncent","DF","Old Mustangs",30,"A","2020",9.04073333333334
"751","I. Gumede","Byasier Pujan","DF","Sugar Bengals",27,"D","2020",9.0439
"239","F. bin Ishak","Dosqaly","DF","Overconfident Kangaroos",31,"B","2020",9.04466666666667
"1550","Z. Braun","Esia","DFMF","Serious Cyclones",26,"C","2021",9.05143333333332
"60","Z. Chipeta","Esia","DF","Mighty Jays",27,"A","2020",9.05233333333333
"116","E. D'angelo","People's Land of Maneau","DF","Solemn Cougars",29,"A","2020",9.05886666666667
"343","T. Maganga","Coastpa Barleslands","DF","Villainous Eagles",23,"B","2020",9.06323333333333
"606","L. Yusof","Byasier Pujan","DF","Marvelous Heels",25,"D","2020",9.06336666666667
"2073","X. Ayugi","Nganion","DF","Serious Magicians",23,"E","2021",9.06493333333334
"2127","X. Haji","Greri Landmoslands","DF","Marvelous Coyotes",26,"RFL","2021",9.06573333333333
"1715","G. Neumbe","Sobianitedrucy","DF","Flying Bombadiers",32,"D","2021",9.07043333333333
"1441","D. Okech","Leoneku Guidisia","DF","Awkward Trailblazers",34,"C","2021",9.0752
"1711","N. Mushabe","Lefghau","DF","Flying Bombadiers",36,"D","2021",9.09433333333333
"1237","T. Neves","Sobianitedrucy","DF","Flawless Cows",29,"B","2021",9.1019
"1772","W. Ly","Northslands","DF","Mighty Monkeys",27,"D","2021",9.10213333333333
"1453","F. Namukasa","Nancipenuaroe","DF","Blue Jaguars",25,"C","2021",9.12146666666666
"298","S. bin Osman","Dosqaly","DF","Supreme Janes",20,"B","2020",9.12943333333334
"1267","O. Kembabazi","Giumle Lizeibon","DF","Jumping Beans",20,"B","2021",9.13063333333333
"2149","K. Mwanje","Rarita","DF","Serious Buffaloes",23,"RFL","2021",9.13330000000001
"2095","C. Kakayi","Dosqaly","DF","Black Coyotes",22,"RFL","2021",9.13336666666666
"1113","F. Kalule","People's Land of Maneau","DF","Horrible Grizzlies",23,"A","2021",9.17526666666666
"1500","H. Arthur","Quewenia","DF","Little Lollipops",23,"C","2021",9.1804
"1945","G. Leone","Nganion","DF","Horrible Bison",23,"E","2021",9.1812
"1250","P. Igwe","Dosqaly","DF","Golden Rustlers",34,"B","2021",9.1977
"1779","J. Fukuda","Lefghau","DF","Red Rangers",26,"D","2021",9.20406666666666
"1244","O. Wagner","Dosqaly","DF","Glistening Paladins",25,"B","2021",9.21743333333333
"1909","L. Wilson","Dosqaly","DF","Festive Governors",25,"E","2021",9.21916666666666
"1376","J. Dahiru","Rarita","DF","Swift Rustlers",28,"B","2021",9.22193333333333
"582","A. Ansah","Varijitri Isles","DF","Fighting Wave",21,"D","2020",9.22943333333334
"1299","K. Amer","Dosqaly","DF","Overconfident Kangaroos",22,"B","2021",9.2301
"1690","M. Ayebazibwe","Sobianitedrucy","DF","Fighting Clippers",26,"D","2021",9.2325
"226","M. Kamya","Dosqaly","DF","Jumping Beans",21,"B","2020",9.23436666666666
"69","V. Ram","People's Land of Maneau","DF","Mighty Jays",24,"A","2020",9.23566666666667
"2013","P. Nabbanja","Newgan Ruland","DF","Punctual Leopards",28,"E","2021",9.25853333333333
"1980","A. Tio","Nganion","DF","Orange Giants",33,"E","2021",9.26013333333333
"1960","C. Benhamou","Nganion","DFMF","Mad Bees",25,"E","2021",9.2634
"1425","X. Lubega","Lefghau","DF","Weak Blimps",22,"B","2021",9.26373333333334
"2091","R. Aloyo","Nganion","DF","Ultimate Penguins",31,"E","2021",9.26473333333334
"1277","U. Francisco","Dosqaly","DF","Mean Colts",27,"B","2021",9.26583333333333
"1245","S. Bukirwa","Dosqaly","DF","Glistening Paladins",23,"B","2021",9.26613333333334
"157","Q. Donati","Quewenia","DF","Sugar Storm",31,"A","2020",9.2785
"1953","A. Lalam","Greri Landmoslands","DF","Mad Bees",26,"E","2021",9.2793
"909","J. Abdel","Lefghau","DF","Running Bigfoots",26,"E","2020",9.282
"1295","H. Suleiman","People's Land of Maneau","DFMF","Mean Poets",21,"B","2021",9.2856
"463","O. Mapfumo","Biarizea","DFFW","Serious Cyclones",20,"C","2020",9.28870000000001
"1254","B. Lai","Rarita","DF","Golden Rustlers",31,"B","2021",9.29076666666667
"1510","N. Barukh","Giumle Lizeibon","DF","Marvelous Anchors",24,"C","2021",9.3034
"1637","E. Hor","Nganion","DFFW","White Firebirds",23,"C","2021",9.33503333333333
"1051","E. D'angelo","Rarita","DF","Wild Hornets",29,"RFL","2020",9.3392
"1841","Z. Kiirya","Lefghau","DF","Strange Pioneers",22,"D","2021",9.33966666666666
"1426","G. Kasamba","Quewenia","DF","Weak Blimps",21,"B","2021",9.3553
"1404","H. Isa","Central Diasongo","DF","Villainous Eagles",33,"B","2021",9.35856666666666
"260","N. Oyama","Dosqaly","MFDF","Serious Thunderbirds",29,"B","2020",9.36466666666667
"679","M. Rashid","Sobianitedrucy","DF","Red Rangers",21,"D","2020",9.38316666666667
"1750","J. Laurent","Cabral Retrea","DF","Marvelous Patriots",30,"D","2021",9.38423333333333
"1804","Z. Delemovi?","Sobianitedrucy","DFMF","Remarkable Flames",25,"D","2021",9.4251
"1465","Q. Roche","Giumle Lizeibon","MFDF","Blue Jaguars",24,"C","2021",9.42906666666667
"254","V. Nyiramugisha","Dosqaly","DF","Serious Thunderbirds",33,"B","2020",9.43053333333334
"1807","I. Greenberg","Cabral Retrea","DF","Serious Ranchers",33,"D","2021",9.43076666666667
"182","D. Mabhena","Nganion","DFMF","Flawless Cows",26,"B","2020",9.43863333333334
"65","E. ?ta","Nganion","DF","Mighty Jays",25,"A","2020",9.44063333333334
"2003","L. Wambi","Nganion","DF","Polar Kangaroos",19,"E","2021",9.44126666666667
"805","M. Takata","Janmico","DF","Festive Governors",20,"E","2020",9.44466666666667
"2081","E. Balog","Nganion","DF","Swift Bison",20,"E","2021",9.44546666666666
"91","T. Syed","People's Land of Maneau","DF","Old Mustangs",16,"A","2020",9.46086666666666
"581","S. Nayiga","Sobianitedrucy","DF","Fighting Wave",26,"D","2020",9.46156666666667
"1316","L. Rostami","Former Maneau","DF","Serious Thunderbirds",27,"B","2021",9.4757
"1797","A. Ainomugisha","Moaithe","DF","Remarkable Flames",20,"D","2021",9.47943333333334
"757","D. Amanyire","Sobianitedrucy","DF","Sugar Bengals",30,"D","2020",9.48216666666667
"1687","X. Williams","Moaithe","DF","Fighting Clippers",26,"D","2021",9.48356666666667
"552","F. Masango","Cabral Retrea","DF","Deranged Defenders",27,"D","2020",9.4924
"1795","P. Sanyu","Lefghau","DF","Remarkable Flames",29,"D","2021",9.51330000000001
"281","A. Peña","Nganion","DF","Solemn Leopards",29,"B","2020",9.52486666666666
"385","S. Magezi","Esia","DF","Blue Jaguars",27,"C","2020",9.52706666666667
"2007","A. Kamusiime","People's Land of Maneau","DF","Polar Kangaroos",29,"E","2021",9.529
"620","F. Farkas","Esia","DF","Marvelous Patriots",24,"D","2020",9.53866666666667
"414","P. Ategeka","Saintswacroa","DF","Horrible Flames",20,"C","2020",9.53983333333334
"1249","I. Chandra","Dosqaly","DF","Golden Rustlers",23,"B","2021",9.5438
"1691","L. Schubert","Pierrema","DFFW","Fighting Clippers",29,"D","2021",9.54536666666666
"1983","H. Gumisiriza","Nganion","DF","Orange Giants",30,"E","2021",9.5488
"579","O. Gamal","Sobianitedrucy","DF","Fighting Wave",20,"D","2020",9.55216666666667
"694","Y. Vitali","Sobianitedrucy","DF","Remarkable Flames",26,"D","2020",9.55836666666666
"1942","O. Okamoto","Dosqaly","DF","Horrible Bison",23,"E","2021",9.56220000000001
"1763","I. Amviko","Byasier Pujan","DF","Mean Wolves",23,"D","2021",9.575
"2043","X. Nabukalu","Nganion","DF","Running Bigfoots",28,"E","2021",9.57783333333333
"467","R. Amadu","Esia","MFDF","Serious Cyclones",23,"C","2020",9.59083333333334
"36","L. Mugumya","People's Land of Maneau","DF","Green Fleet",21,"A","2020",9.60013333333333
"1707","W. Namukose","Coastpa Barleslands","DF","Flying Bombadiers",25,"D","2021",9.60319999999999
"1846","I. Paswan","Sobianitedrucy","DF","Strange Pioneers",25,"D","2021",9.6238
"1822","E. Atim","Sobianitedrucy","DF","Spicy Pointers",26,"D","2021",9.6295
"1933","R. Kukk","Greri Landmoslands","DF","Hideous Spiders",35,"E","2021",9.6317
"2093","Z. Salisu","Nganion","DF","Ultimate Penguins",29,"E","2021",9.6339
"2094","O. Farkas","Pierrema","DF","Ultimate Penguins",28,"E","2021",9.63416666666667
"175","M. Baláž","Dosqaly","DF","Flawless Cows",18,"B","2020",9.63443333333334
"46","D. Martini","Nganion","DF","Horrible Grizzlies",28,"A","2020",9.6376
"1220","H. Byamugisha","Republic of Denand Landsa","DF","Weak Tornadoes",23,"A","2021",9.6385
"893","A. Kamusiime","People's Land of Maneau","DF","Polar Kangaroos",28,"E","2020",9.64059999999999
"1959","H. Chakraborty","South Sati Fatina","DF","Mad Bees",31,"E","2021",9.64316666666666
"1863","D. Namayanja","Lefghau","DF","Wet Flames",23,"D","2021",9.6443
"1333","H. Naluyima","Lenia Gerdanho","DF","Simple Privateers",25,"B","2021",9.646
"1076","Y. Rabinovitch","Western Niasland","DF","Fighting Cougars",28,"A","2021",9.64610000000001
"921","T. Nalugo","Nganion","DF","Sassy Knights",30,"E","2020",9.65543333333333
"1741","X. Kho","Mico","DF","Marvelous Heels",23,"D","2021",9.661
"2163","P. Murmu","Rarita","DF","Strong Oaks",22,"RFL","2021",9.66773333333333
"410","K. Ohayon","Esia","DF","Horrible Flames",30,"C","2020",9.68366666666667
"1634","Y. Thungu","Rarita","DF","White Firebirds",22,"C","2021",9.68596666666667
"208","G. Namanya","Dosqaly","DF","Grotesque Rocks",28,"B","2020",9.70063333333333
"233","T. Gayakwad","Dosqaly","DF","Lady Ocelots",25,"B","2020",9.70110000000001
