"","Player","Nation","Pos","Squad","Age","League","Year","FWPred"
"416","V. Kayira","Esia","FW","Serious Cyclones",27,"C","2020",11.9467333333333
"1621","S. Candiru","Nganion","DFFW","Strange Pioneers",22,"D","2021",11.9478666666667
"652","B. Quaye","Sobianitedrucy","FW","Strange Pioneers",21,"D","2020",11.9546
"1302","E. Doyle","Esia","MFFW","Awkward Trailblazers",25,"C","2021",11.9580333333333
"201","P. Martin","Xikong","FW","Lady Ocelots",17,"B","2020",11.9593666666667
"207","L. Gutiérrez","Central Diasongo","MFFW","Lady Ocelots",21,"B","2020",11.9648333333333
"11","G. Köhler","People's Land of Maneau","DFFW","Fighting Cougars",25,"A","2020",11.9656333333333
"193","V. Nabbosa","Quewenia","FWMF","Jumping Beans",21,"B","2020",11.9666666666667
"1178","S. Moss","Coastpa Barleslands","FWMF","Simple Jayhawks",26,"B","2021",11.9667333333333
"260","X. Durand","Greri Landmoslands","MFFW","Somber Stallions",21,"B","2020",11.9671333333333
"1790","G. Agustina","Imaar Vircoand","FWMF","Running Bigfoots",31,"E","2021",11.9702
"107","D. Athieno","People's Land of Maneau","FW","Somber Bombers",30,"A","2020",11.9711
"172","X. Odongo","Unicorporated Tiagascar","MFFW","Grotesque Rocks",25,"B","2020",11.9736
"549","Z. Njoku","Imaar Vircoand","FW","Hideous Spartans",24,"D","2020",11.9765333333333
"442","C. Mari?","Giumle Lizeibon","FWMF","Spicy Gophers",26,"C","2020",11.9774333333333
"432","Q. Addo","Quewenia","MFFW","Silver Frogs",27,"C","2020",11.9802333333333
"1517","L. Schubert","Pierrema","DFFW","Fighting Clippers",29,"D","2021",11.9862666666667
"617","F. Ilves","Imaar Vircoand","FWMF","Remarkable Flames",31,"D","2020",11.99
"1590","W. Mertens","Manlisgamncent","FW","Red Rangers",32,"D","2021",11.9968666666667
"1390","B. Nakiyemba","Esia","FWMF","Serious Cyclones",24,"C","2021",11.9987666666667
"1168","N. Masango","Dosqaly","MFFW","Serious Thunderbirds",19,"B","2021",11.9991
"868","M. Arifin","Unicorporated Tiagascar","MFFW","Black Coyotes",25,"RFL","2020",12.0005
"1260","Z. Ogawa","Coastpa Barleslands","FWMF","Villainous Eagles",25,"B","2021",12.0024333333333
"1155","Q. Awekonimungu","Dosqaly","MFFW","Overconfident Kangaroos",24,"B","2021",12.0038666666667
"10","H. Tourgeman","Rarita","MFFW","Fanatical Outlaws",26,"A","2020",12.0047
"1184","D. Ochan","Coastpa Barleslands","FW","Simple Privateers",27,"B","2021",12.0048333333333
"576","C. Alum","Rosvi","MFFW","Marvelous Patriots",27,"D","2020",12.0089333333333
"953","Q. Nabimanya","Imaar Vircoand","MFFW","Fighting Cougars",21,"A","2021",12.0102333333333
"916","A. Amito","People's Land of Maneau","FW","Walking Runners",31,"RFL","2020",12.0123333333333
"903","G. Simango","Rarita","FWMF","Mad Cardinals",27,"RFL","2020",12.0142
"850","Z. Hansson","Newgan Ruland","MFFW","Ultimate Penguins",19,"E","2020",12.0222333333333
"1229","Y. Salminen","Dosqaly","FWMF","Swift Rustlers",18,"B","2021",12.0231666666667
"297","F. Nyandoro","Dosqaly","FW","Unethical Comets",19,"B","2020",12.0267
"1208","Z. Heinonen","Dosqaly","FWMF","Solemn Leopards",22,"B","2021",12.0268333333333
"453","L. Jung","Rarita","FWMF","Supreme Jaguars",19,"C","2020",12.0327333333333
"1366","E. Mtetwa","Leoneku Guidisia","FW","Punctual Archers",25,"C","2021",12.0388333333333
"1508","B. Mpofu","Byasier Pujan","FWMF","Coy Sunbirds",19,"D","2021",12.0409
"1325","M. Nakaggwa","Byasier Pujan","MFFW","Fiery Governors",26,"C","2021",12.0460333333333
"1252","E. Rashidi","Landli Blicporlip","MFFW","Unethical Comets",28,"B","2021",12.0487
"450","F. Quansah","Southern Ristan","FW","Supreme Jaguars",24,"C","2020",12.0496666666667
"1542","N. Cheng","Sobianitedrucy","FWMF","Flying Bombadiers",19,"D","2021",12.0510333333333
"1762","R. Kiberu","Nganion","MFFW","Polar Kangaroos",30,"E","2021",12.0511333333333
"1289","W. Okumu","Unicorporated Tiagascar","MFFW","Wet Monarchs",26,"B","2021",12.0532333333333
"1381","U. Sani","Byasier Pujan","MFFW","Red Artichokes",23,"C","2021",12.0672
"1433","X. Seidu","Giumle Lizeibon","FWMF","Supreme Jaguars",26,"C","2021",12.0786666666667
"1739","F. Jee","Nganion","FWMF","Orange Giants",30,"E","2021",12.0892666666667
"1291","I. Nartey","Esia","DFFW","Awkward Trailblazers",20,"C","2021",12.0898
"93","Y. binti Ahmad","People's Land of Maneau","DFFW","Silver Heels",17,"A","2020",12.0914333333333
"1546","L. Nanono","Sobianitedrucy","FW","Hideous Spartans",31,"D","2021",12.0918
"1759","K. Nambozo","Dosqaly","MFFW","Polar Kangaroos",24,"E","2021",12.0991
"246","F. Baguma","Coastpa Barleslands","DFFW","Solemn Leopards",27,"B","2020",12.0997333333333
"1581","Q. Zyu","Imaar Vircoand","MFFW","Mean Wolves",29,"D","2021",12.1006
"1553","R. Rossi","Western Niasland","DFFW","Marvelous Heels",27,"D","2021",12.1038
"581","O. Roth","Sobianitedrucy","FW","Mean Wolves",26,"D","2020",12.1076333333333
"1820","J. Maneno","Nganion","MFFW","Serious Magicians",27,"E","2021",12.1076333333333
"609","T. Akankwasa","Sobianitedrucy","FWMF","Red Rangers",25,"D","2020",12.1078
"568","J. Jørgensen","Manlisgamncent","MFFW","Marvelous Heels",24,"D","2020",12.1187333333333
"1664","F. bin Zakaria","Nganion","MFFW","Deferred Dolphins",26,"E","2021",12.1194666666667
"752","J. Munguambe","Nganion","FWMF","Plane Janes",25,"E","2020",12.1212
"1911","H. Mirembe","Rarita","MFFW","Wild Hornets",19,"RFL","2021",12.1240666666667
"3","B. De Rosa","People's Land of Maneau","FW","Fanatical Outlaws",22,"A","2020",12.1264666666667
"184","Q. Mutabazi","Byasier Pujan","FW","Jumping Beans",21,"B","2020",12.1280333333333
"285","S. Antwi","Lefghau","MFFW","Swift Rustlers",23,"B","2020",12.1380333333333
"712","S. Gutiérrez","Nganion","MFFW","Horrible Bison",19,"E","2020",12.1382333333333
"1093","J. Leng","Greri Landmoslands","MFFW","Glistening Paladins",23,"B","2021",12.1399666666667
"67","C. Ssentamu","People's Land of Maneau","FW","Mighty Jays",20,"A","2020",12.1519666666667
"1834","P. Mutonyi","Nganion","FWMF","Ultimate Penguins",20,"E","2021",12.1537333333333
"1619","E. Nabwami","Tucamna","FWMF","Spicy Pointers",19,"D","2021",12.1547
"1312","S. Armah","Mico","FWDF","Blue Jaguars",24,"C","2021",12.1587333333333
"1515","T. Fontaine","Sobianitedrucy","FWMF","Coy Sunbirds",28,"D","2021",12.1595666666667
"1721","G. Yunusa","Nganion","DFFW","Mad Kingsmen",29,"E","2021",12.1668666666667
"130","E. Hussain","Southslands","FWMF","Sugar Storm",18,"A","2020",12.1685666666667
"429","O. Lombardi","Frenchdo Stanser","MFFW","Silver Frogs",20,"C","2020",12.1687666666667
"1028","W. Markovi?","Nancipenuaroe","FWMF","Silver Heels",28,"A","2021",12.1689
"1383","U. Azizi","Esia","MFFW","Red Artichokes",23,"C","2021",12.1731
"1623","E. Amanya","Dosqaly","FW","Strange Pioneers",37,"D","2021",12.1735666666667
"1734","H. David","Redohrainbri","MFFW","Mad Kingsmen",21,"E","2021",12.1747666666667
"1589","B. Owor","Mico","MFFW","Mighty Monkeys",20,"D","2021",12.1750333333333
"152","K. Adong","Dosqaly","FWMF","Glistening Paladins",26,"B","2020",12.1787333333333
"744","X. Sung","Lylimi","MFFW","Orange Giants",31,"E","2020",12.1872
"739","N. Brouwer","Nganion","MFFW","Mighty Jimmies",30,"E","2020",12.1888
"265","H. Sentongo","Reugha","FW","Supreme Janes",27,"B","2020",12.1935
"837","V. Yohane","Imaar Vircoand","FWMF","Swift Marauders",22,"E","2020",12.1962666666667
"896","H. Abe","Rarita","MFFW","Great Pandas",24,"RFL","2020",12.1993666666667
"1727","D. Adebayo","Nganion","FW","Mad Kingsmen",23,"E","2021",12.2017333333333
"1701","Q. Nagadya","Nganion","MFFW","Hideous Spiders",29,"E","2021",12.2036666666667
"1326","Y. Dupont","Esia","MFFW","Fiery Governors",17,"C","2021",12.2046
"798","F. Magaia","Nganion","FWMF","Sassy Knights",21,"E","2020",12.2068666666667
"1262","C. Hu","Dosqaly","FWMF","Villainous Eagles",18,"B","2021",12.2098
"1435","F. Quansah","Southern Ristan","FWMF","Supreme Jaguars",25,"C","2021",12.2099
"167","C. Kwakye","Nancipenuaroe","FW","Grotesque Rocks",27,"B","2020",12.2171333333333
"1263","F. Adiru","Dosqaly","FWMF","Villainous Eagles",16,"B","2021",12.2202
"548","B. Ozols","Sobianitedrucy","MFFW","Flying Bombadiers",17,"D","2020",12.2278333333333
"1823","I. Kiiza","Janmico","FW","Swift Bison",23,"E","2021",12.2371666666667
"224","V. Gallo","Tabhu Striary","FWMF","Serious Thunderbirds",28,"B","2020",12.2407
"452","M. Ebong","Esia","FWMF","Supreme Jaguars",27,"C","2020",12.2426333333333
"1294","Q. Scott","Byasier Pujan","FWMF","Awkward Trailblazers",20,"C","2021",12.2546666666667
"1112","C. Kwakye","Nancipenuaroe","FWMF","Grotesque Rocks",28,"B","2021",12.258
"930","D. Nasser","Nganion","FWMF","Wild Hornets",23,"RFL","2020",12.2586666666667
"550","L. Nanono","Sobianitedrucy","FW","Hideous Spartans",30,"D","2020",12.2589
"208","E. Kunihira","Lenia Gerdanho","MFFW","Lady Ocelots",28,"B","2020",12.2595333333333
"816","Z. Amito","Nganion","FW","Serious Magicians",21,"E","2020",12.2618
"1261","C. B?rzi?š","Dosqaly","FWMF","Villainous Eagles",26,"B","2021",12.2637333333333
"359","D. Morales","Dosqaly","FW","Fiery Governors",22,"C","2020",12.2647333333333
"343","C. Niwagaba","Former Maneau","FWMF","Awkward Trailblazers",40,"C","2020",12.2686666666667
"1423","T. Ramos","Esia","FW","Supreme Jaguars",21,"C","2021",12.2735666666667
"1374","U. Alizadeh","Lylimi","MFFW","Punctual Archers",22,"C","2021",12.2742666666667
"1143","H. Hovhannisyan","Dosqaly","MFFW","Mean Poets",34,"B","2021",12.2749666666667
"954","I. Ocen","People's Land of Maneau","MFFW","Fighting Cougars",32,"A","2021",12.2788
"1195","V. Nagawa","Dosqaly","FWMF","Simple Privateers",21,"B","2021",12.2825
"483","B. Hadži?","Esia","FW","Weak Chargers",24,"C","2020",12.2911666666667
"668","O. Suzuki","Sobianitedrucy","MFFW","Wet Flames",18,"D","2020",12.2914666666667
"454","J. Muianga","Biarizea","MFFW","Supreme Jaguars",22,"C","2020",12.2925
"1456","C. Asadi","Lylimi","MFFW","Ultimate Longhorns",23,"C","2021",12.2948
"1799","F. Rozman","Imaar Vircoand","MFFW","Sassy Knights",26,"E","2021",12.3033
"511","C. Go","Sobianitedrucy","FWMF","Coy Sunbirds",31,"D","2020",12.3070333333333
"1138","M. Musenero","Dosqaly","FWMF","Mean Poets",21,"B","2021",12.3092333333333
"702","T. Tushemereirwe","Nganion","FW","Flying Penguins",32,"E","2020",12.3112666666667
"484","T. Sarkar","Unicorporated Tiagascar","FW","Weak Chargers",34,"C","2020",12.3129333333333
"796","M. Acola","Nganion","FW","Sassy Knights",17,"E","2020",12.3165333333333
"178","N. Obua","Dosqaly","MFFW","Hideous Pioneers",19,"B","2020",12.3219333333333
"1185","U. Utomo","Dosqaly","FW","Simple Privateers",19,"B","2021",12.3243
"1277","T. Kuok","Dosqaly","MFFW","Weak Blimps",22,"B","2021",12.3245666666667
"1488","C. Lim","Biarizea","FWMF","Wicked Gentlefolk",29,"C","2021",12.3246333333333
"1304","H. Manyika","Lylimi","MFFW","Awkward Trailblazers",30,"C","2021",12.3258666666667
"1867","B. Rohman","People's Land of Maneau","MFFW","Mad Wolverines",22,"RFL","2021",12.3318333333333
"1686","T. Tushemereirwe","Nganion","FWMF","Flying Penguins",33,"E","2021",12.3399
"322","P. Tse","Biarizea","FW","Wet Monarchs",21,"B","2020",12.3419666666667
"1692","W. Dufour","Nganion","FW","Hideous Spiders",21,"E","2021",12.3421666666667
"273","L. Mirzaei","Biarizea","MFFW","Supreme Janes",20,"B","2020",12.347
"740","F. Adriko","Lefghau","FW","Orange Giants",35,"E","2020",12.3570333333333
"1866","Y. Mohammadzadeh","Ngoque Blicri","MFFW","Mad Wolverines",29,"RFL","2021",12.3594666666667
"1812","Z. Amito","Nganion","FW","Serious Magicians",22,"E","2021",12.3704
"999","I. Nugraha","People's Land of Maneau","FW","Mighty Jays",20,"A","2021",12.3754
"780","O. Wong","Biarizea","FW","Running Bigfoots",22,"E","2020",12.3765
"1698","D. Ayesiga","Nganion","MFFW","Hideous Spiders",29,"E","2021",12.3784
"1181","E. Maulana","Dosqaly","MFFW","Simple Jayhawks",22,"B","2021",12.3877
"729","G. Yunusa","Nganion","MFFW","Mad Kingsmen",28,"E","2020",12.3956
"1628","B. Quaye","Sobianitedrucy","FWMF","Strange Pioneers",22,"D","2021",12.4014333333333
"1253","E. Kinoshita","Biarizea","FW","Villainous Eagles",28,"B","2021",12.4035
"1598","Q. Thakur","Sobianitedrucy","MFFW","Red Rangers",27,"D","2021",12.4102333333333
"1503","N. Katusabe","Mico","FW","Coy Sunbirds",27,"D","2021",12.4128333333333
"917","I. Atuheire","Thaijagypt","FW","Walking Runners",28,"RFL","2020",12.4177666666667
"1689","A. Murata","Nganion","MFFW","Flying Penguins",30,"E","2021",12.4254666666667
"1821","S. Juri?","Nganion","MFFW","Serious Magicians",21,"E","2021",12.4356333333333
"1020","T. Zoabi","People's Land of Maneau","FWMF","Punctual Rustlers",19,"A","2021",12.4381
"180","X. Chevalier","Dosqaly","MFFW","Hideous Pioneers",22,"B","2020",12.4392
"941","B. De Rosa","People's Land of Maneau","FWMF","Fanatical Outlaws",23,"A","2021",12.4416333333333
"1017","J. Lysenko","Sobianitedrucy","FW","Punctual Rustlers",20,"A","2021",12.4444666666667
"1062","A. Logose","Lylimi","MFFW","Swift Musketeers",25,"A","2021",12.4463
"854","R. Adamu","Nganion","MFFW","Ultimate Penguins",28,"E","2020",12.4491333333333
"1126","E. Muwanguzi","Reugha","MFFW","Jumping Beans",25,"B","2021",12.4655
"1153","D. Kakande","Dosqaly","MFFW","Overconfident Kangaroos",27,"B","2021",12.4728
"822","F. Salifu","Nganion","MFFW","Serious Magicians",33,"E","2020",12.4773333333333
"277","E. Nankunda","Dosqaly","FW","Swift Rustlers",22,"B","2020",12.4806
"795","L. Ibrahimovi?","Nganion","FW","Sassy Knights",24,"E","2020",12.4809333333333
"381","C. Khalil","Esia","MFFW","Little Lollipops",27,"C","2020",12.4822666666667
"110","X. Chauhan","Nancipenuaroe","FWMF","Somber Bombers",27,"A","2020",12.4842333333333
"1892","A. Nanjala","Rarita","FW","Strong Oaks",21,"RFL","2021",12.4848333333333
"753","S. Kofi","Western Niasland","FWMF","Plane Janes",32,"E","2020",12.4854666666667
"69","Y. Ferrara","People's Land of Maneau","MFFW","Mighty Jays",19,"A","2020",12.5026333333333
"171","C. Sari","Dosqaly","MFFW","Grotesque Rocks",20,"B","2020",12.5055
"1700","L. Sanz","Nganion","MFFW","Hideous Spiders",32,"E","2021",12.5156666666667
"1665","Q. Maturu","Dastatesne","FW","Delta Colts",24,"E","2021",12.5237333333333
"1427","R. Christiansen","Slandsganiamayotteque","FW","Supreme Jaguars",19,"C","2021",12.5360666666667
"1407","I. Lew","Esia","MFFW","Silver Frogs",26,"C","2021",12.5367333333333
"1457","I. Ly","Esia","FW","Weak Chargers",20,"C","2021",12.5446
"1384","C. Thomas","Giumle Lizeibon","MFFW","Red Artichokes",26,"C","2021",12.5448333333333
"641","S. Soon","Sobianitedrucy","FW","Spicy Pointers",22,"D","2020",12.5479666666667
"1288","Y. Jokinen","Dosqaly","MFFW","Wet Monarchs",27,"B","2021",12.5507333333333
"918","V. Morel","Imaar Vircoand","FWDF","Walking Runners",23,"RFL","2020",12.5540333333333
"1476","X. Namuyanja","Esia","MFFW","White Firebirds",18,"C","2021",12.5568
"1839","R. Adamu","Nganion","MFFW","Ultimate Penguins",29,"E","2021",12.5583333333333
"426","C. Wee","Esia","FW","Silver Frogs",28,"C","2020",12.5584333333333
"15","P. Chew","Esia","FWMF","Fighting Cougars",28,"A","2020",12.5587666666667
"14","R. binti Hassan","Southslands","FW","Fighting Cougars",19,"A","2020",12.5651666666667
"1865","M. Namukwaya","Ngoque Blicri","MFFW","Mad Wolverines",32,"RFL","2021",12.5669333333333
"1483","I. Romano","Iverde","DFFW","Wicked Gentlefolk",17,"C","2021",12.5700333333333
"1658","B. Neméth","Lefghau","FWMF","Deferred Dolphins",24,"E","2021",12.5728333333333
"932","H. Amade","Rarita","MFFW","Wild Hornets",19,"RFL","2020",12.5738666666667
"884","O. Nyandoro","Rarita","MFFW","Golden Cadets",18,"RFL","2020",12.575
"817","E. Mudzingwa","Rarita","FW","Serious Magicians",25,"E","2020",12.5774666666667
"1116","U. Sun","Reugha","MFFW","Grotesque Rocks",24,"B","2021",12.5775666666667
"1733","D. Ocokoru","Nganion","MFFW","Mad Kingsmen",28,"E","2021",12.5785
"1367","K. Jabarin","Manlisgamncent","FW","Punctual Archers",22,"C","2021",12.579
"992","Q. Mbambu","Lefghau","MFFW","Horrible Storm",23,"A","2021",12.5803666666667
"1025","D. Morales","Dosqaly","FW","Silver Heels",23,"A","2021",12.5826666666667
"1656","D. Fischer","Nganion","FW","Deferred Dolphins",35,"E","2021",12.5880666666667
"1001","U. Chio","Lefghau","FWMF","Mighty Jays",31,"A","2021",12.5891666666667
"149","F. Lakot","Dosqaly","FWMF","Glistening Paladins",29,"B","2020",12.5895666666667
"1495","G. Sserugo","Sobianitedrucy","FW","Coy Catamarans",31,"D","2021",12.5973333333333
"6","I. Kamukama","Lefghau","MFFW","Fanatical Outlaws",26,"A","2020",12.5983
"218","T. Amutuhaire","Dosqaly","FW","Serious Thunderbirds",21,"B","2020",12.6004333333333
"409","P. Anderson","Esia","MFFW","Punctual Archers",23,"C","2020",12.6014666666667
"1232","M. Sardar","Sobianitedrucy","FWMF","Swift Rustlers",19,"B","2021",12.6022333333333
"1376","H. Boadu","Esia","FW","Red Artichokes",32,"C","2021",12.6026
"967","J. Namatovu","People's Land of Maneau","FW","Green Fleet",16,"A","2021",12.6109
"1805","M. Banda","Lefghau","FW","Screaming Ramblers",29,"E","2021",12.6194
"1317","F. Apili","Nancipenuaroe","DFFW","Fiery Governors",21,"C","2021",12.6216333333333
"1447","H. Kelmendi","Lefghau","FWMF","Ultimate Dolphins",29,"C","2021",12.6238
"1480","H. Jaber","Eastern Niasland","DFFW","Wicked Gentlefolk",20,"C","2021",12.6266666666667
"743","T. Sommer","Nganion","FW","Orange Giants",29,"E","2020",12.6345666666667
"840","Y. Sunday","Northern Ramo Rastemoa","FWMF","Swift Marauders",27,"E","2020",12.6418666666667
"1825","E. Obbo","Landli Blicporlip","FWMF","Swift Bison",19,"E","2021",12.6467
"1140","U. Tan","Varijitri Isles","FWMF","Mean Poets",23,"B","2021",12.6477333333333
"1090","M. Maimon","Dosqaly","MFFW","Glistening Paladins",32,"B","2021",12.6521
"1807","S. Nyathi","Nganion","FW","Screaming Ramblers",31,"E","2021",12.6626333333333
"1690","I. Babirye","Nganion","MFFW","Flying Penguins",22,"E","2021",12.6638666666667
"378","M. Li","Iverde","FW","Little Lollipops",31,"C","2020",12.6647666666667
"309","V. Koller","Coastpa Barleslands","DFFW","Weak Blimps",23,"B","2020",12.6674666666667
"124","O. Kantono","Esia","FWMF","Sugar Storm",28,"A","2020",12.6683
"1348","C. O'Connor","Unicorporated Tiagascar","FW","Marvelous Anchors",22,"C","2021",12.6739333333333
"927","P. Delgado","Rarita","FW","Wild Hornets",20,"RFL","2020",12.6781666666667
"233","K. Olsen","Tiagascar Westlands","FW","Simple Jayhawks",18,"B","2020",12.6807333333333
"66","I. Kakuru","Lefghau","FW","Mighty Jays",18,"A","2020",12.6816666666667
"1846","V. Meijer, Meyer","Southern Ristan","FW","Black Coyotes",21,"RFL","2021",12.6879
"214","D. Kakande","Dosqaly","MFFW","Overconfident Kangaroos",26,"B","2020",12.6899666666667
"645","B. Nakandi","Sobianitedrucy","MFFW","Spicy Pointers",27,"D","2020",12.6908
"1461","Z. Möller","Central Republic of Boekrainego","FWDF","Weak Chargers",29,"C","2021",12.6946666666667
"736","X. Kyosimire","Dosqaly","MFFW","Mighty Jimmies",28,"E","2020",12.6999
"1455","F. Nakimuli","Esia","MFFW","Ultimate Longhorns",26,"C","2021",12.7017666666667
"1320","I. Peeters","Giumle Lizeibon","FW","Fiery Governors",28,"C","2021",12.7032666666667
"1841","B. Madondo","Rarita","FW","Black Coyotes",25,"RFL","2021",12.7037666666667
"1477","X. Natamba","Esia","MFFW","White Firebirds",18,"C","2021",12.7050666666667
"1342","C. Khalil","Esia","FWMF","Little Lollipops",28,"C","2021",12.7089
"1827","B. Kwek","Greri Landmoslands","MFFW","Swift Bison",23,"E","2021",12.7143666666667
"1605","M. Bwire","Rarita","FWMF","Remarkable Flames",31,"D","2021",12.7161
"1030","C. Mwesige","People's Land of Maneau","DFFW","Solemn Cougars",30,"A","2021",12.7162
"1702","J. Bernard","Republic of Denand Landsa","MFFW","Hideous Spiders",22,"E","2021",12.7211666666667
"1266","J. Nakamya","Dosqaly","MFFW","Villainous Eagles",24,"B","2021",12.7252
"818","D. Jena","Nganion","FWDF","Serious Magicians",26,"E","2020",12.7303666666667
"1852","I. Y?ld?r?m","Galamily","FW","Educated Avengers",28,"RFL","2021",12.7327333333333
"48","J. Wan","People's Land of Maneau","MFFW","Horrible Grizzlies",23,"A","2020",12.7332
"1588","X. Kazibwe","Janmico","MFFW","Mighty Monkeys",29,"D","2021",12.7370666666667
"1842","I. Tabu","Rarita","FW","Black Coyotes",18,"RFL","2021",12.7413333333333
"280","M. Mubangizi","Greri Landmoslands","FW","Swift Rustlers",23,"B","2020",12.7448666666667
"20","M. Kamanga","Central Republic of Boekrainego","MFFW","Fighting Cougars",28,"A","2020",12.7497666666667
"1389","B. Umaru","Esia","FWDF","Serious Cyclones",22,"C","2021",12.7505
"960","M. Nkhata","People's Land of Maneau","FWDF","Great Galactic Gorgons",16,"A","2021",12.753
"809","N. Kumar","Nganion","MFFW","Screaming Ramblers",18,"E","2020",12.7581333333333
"1285","L. Amule","Dosqaly","FWMF","Wet Monarchs",19,"B","2021",12.7684333333333
"295","T. Kuok","Dosqaly","MFFW","Unaccountable Foxes",21,"B","2020",12.7690333333333
"1429","D. Jansson","Biarizea","FWDF","Supreme Jaguars",22,"C","2021",12.7769
"1321","X. Hofer","New Uwi","FW","Fiery Governors",32,"C","2021",12.7782
"1279","L. Lukwago","Coastpa Barleslands","FW","Wet Monarchs",23,"B","2021",12.7846
"119","H. Ruiz","Imaar Vircoand","MFFW","Stacked Rocks",23,"A","2020",12.7846666666667
"1774","E. Blaževi?","Imaar Vircoand","FW","Rabid Greyhounds",24,"E","2021",12.7902666666667
"1695","D. Ghasemi","Nganion","FWMF","Hideous Spiders",26,"E","2021",12.7922333333333
"241","J. Kirabo","Dosqaly","MFFW","Simple Privateers",33,"B","2020",12.7962
"1673","J. Mugenyi","Nganion","MFFW","Delta Colts",25,"E","2021",12.8001333333333
"993","Y. Nabulo","People's Land of Maneau","MFFW","Horrible Storm",19,"A","2021",12.8035333333333
"756","B. Lindberg","Rosvi","DFFW","Polar Kangaroos",21,"E","2020",12.809
"83","L. Edwards","People's Land of Maneau","MFFW","Old Mustangs",25,"A","2020",12.8193333333333
"1788","Z. Nakiwala","Rarita","FW","Running Bigfoots",24,"E","2021",12.8197
"499","M. Bonnet","Giumle Lizeibon","FWMF","White Firebirds",20,"C","2020",12.8204
"35","Q. Scott","Byasier Pujan","FWDF","Green Fleet",19,"A","2020",12.8205333333333
"1133","E. Kunihira","Lenia Gerdanho","MFFW","Mean Colts",29,"B","2021",12.8221
"578","Y. Brown","Sobianitedrucy","MFFW","Marvelous Patriots",19,"D","2020",12.8267666666667
"1463","P. Nyondo","Byasier Pujan","FWMF","Weak Chargers",19,"C","2021",12.8408333333333
"1719","E. Hayati","Nganion","MFFW","Mad Bees",26,"E","2021",12.8538666666667
"1729","Q. Lou","Nganion","FWDF","Mad Kingsmen",18,"E","2021",12.8598333333333
"1226","A. Schmidt","Dosqaly","DFFW","Swift Rustlers",27,"B","2021",12.8664
"590","G. Fauzi","Imaar Vircoand","MFFW","Mighty Monkeys",26,"D","2020",12.8676
"1684","M. Nakyejwe","Varijitri Isles","FW","Flying Penguins",23,"E","2021",12.8739
"1061","Z. Alupo","Central Republic of Boekrainego","MFFW","Swift Musketeers",18,"A","2021",12.8762
"937","M. Namukwaya","Ngoque Blicri","FWDF","Fanatical Outlaws",32,"A","2021",12.8786666666667
"1662","A. Harutyunyan","Western Niasland","FWMF","Deferred Dolphins",22,"E","2021",12.8794333333333
"1903","A. Baguma","Rarita","FW","Wild Hornets",18,"RFL","2021",12.8808333333333
"1346","J. Faida","Byasier Pujan","FW","Marvelous Anchors",22,"C","2021",12.8862666666667
"1058","F. Siddiqui","Southslands","FW","Swift Musketeers",20,"A","2021",12.8867333333333
"1360","A. Lekuru","Leoneku Guidisia","FWMF","Mean Trolls",22,"C","2021",12.8893666666667
"1088","L. Alanyo","Dosqaly","FWMF","Glistening Paladins",22,"B","2021",12.8911
"210","U. Mustapha","Dosqaly","FW","Overconfident Kangaroos",18,"B","2020",12.9078666666667
"478","B. Jalali","Rosvi","MFFW","Ultimate Longhorns",24,"C","2020",12.9129333333333
"202","A. Maganda","Dosqaly","FWMF","Lady Ocelots",25,"B","2020",12.9133666666667
"1049","P. Musiime","Lefghau","FW","Stacked Rocks",25,"A","2021",12.9167
"1481","G. Oduro","Esia","DFFW","Wicked Gentlefolk",25,"C","2021",12.9226333333333
"1728","X. Rana","Nganion","FW","Mad Kingsmen",20,"E","2021",12.9253
"284","Z. Pinto","Republic of Denand Landsa","FWMF","Swift Rustlers",22,"B","2020",12.9276
"325","Y. Seidel","Dosqaly","FW","Wet Monarchs",20,"B","2020",12.9290666666667
"1323","F. Lemaire","Landli Blicporlip","FWDF","Fiery Governors",29,"C","2021",12.9332333333333
"888","N. Salazar","Rarita","FW","Great Pandas",29,"RFL","2020",12.9392666666667
"1817","V. Shinde","Nganion","FWMF","Serious Magicians",22,"E","2021",12.9403666666667
"793","K. Benhamou","Nganion","FW","Sassy Knights",24,"E","2020",12.9418333333333
"510","G. Lubis","Dosqaly","FWMF","Coy Sunbirds",21,"D","2020",12.9435
"335","F. Zziwa","Esia","FW","Awkward Trailblazers",19,"C","2020",12.9503666666667
"1316","Y. Jain","Esia","DFFW","Fiery Governors",24,"C","2021",12.9616666666667
"1160","K. Wo?niak","Dosqaly","FW","Serious Thunderbirds",23,"B","2021",12.9636333333333
"340","F. Kigongo","Esia","FWMF","Awkward Trailblazers",20,"C","2020",12.9659333333333
"266","O. Cheah","Lefghau","FWDF","Supreme Janes",27,"B","2020",12.9689666666667
"596","L. Ranjbar","New Uwi","FWDF","Punctual Fire",17,"D","2020",12.9775333333333
"813","F. Nakalema","Nganion","FW","Serious Magicians",22,"E","2020",12.9790666666667
"1196","O. Ali","Loco Phirema","MFFW","Simple Privateers",23,"B","2021",12.9797333333333
"584","A. Caron","Sobianitedrucy","FW","Mighty Monkeys",23,"D","2020",12.9844
"131","W. Bruno","Tito Mian New Ili Siaco","FWMF","Sugar Storm",26,"A","2020",12.9874666666667
"1409","L. Bagheri","Republic of Denand Landsa","FW","Spicy Gophers",22,"C","2021",13.0037666666667
"434","H. Jaber","Eastern Niasland","FW","Spicy Gophers",19,"C","2020",13.0054666666667
